,product_name,product_price,product_desc1,product_img_url,product_buy_link
0,Men Slim Mid Rise Light Blue Jeans,₹399,82% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/p/i/h/32-ljrmf005-lzard-original-imagteqt9gv5z7qd.jpeg?q=70,https://www.flipkart.com/lzard-slim-men-light-blue-jeans/p/itm8d1ad8a7bb3d3?pid=JEAGTERCSUHHCVSF&lid=LSTJEAGTERCSUHHCVSFTJ3CGB&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_1&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4NAr1jvTJEkPgn9NifUsO-1kvtAs8wo8BsD4D_znJDtWqg%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
1,Men Regular Mid Rise Dark Blue Jeans,₹674,70% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/j/i/g/36-phjn000049-highlander-original-imagugzjhucy2gve.jpeg?q=70,https://www.flipkart.com/highlander-regular-men-dark-blue-jeans/p/itma141d12362f27?pid=JEAGUGZJXGFQ7ZYF&lid=LSTJEAGUGZJXGFQ7ZYFOOWXT9&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_2&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4NC3Qo4slU3xAwZmYx6aFV5ghv1TD7PoH6INlZcXqEWyag%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
2,Men Regular Mid Rise White Jeans,₹845,82% off,https://rukminim2.flixcart.com/image/612/612/kpodocw0/jean/t/3/r/32-rdm0015-red-tape-original-imag3uug6vngpx9z.jpeg?q=70,https://www.flipkart.com/red-tape-regular-men-white-jeans/p/itm25179b1e0a06b?pid=JEAG3KQ2BDPAC4NH&lid=LSTJEAG3KQ2BDPAC4NHNZ86XC&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_3&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAG3KQ2BDPAC4NH.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
3,Men Slim Mid Rise Blue Jeans,₹510,69% off,https://rukminim2.flixcart.com/image/612/612/kvba7bk0/jean/r/l/k/34-13866704-roadster-original-imag88pjacrhzej8.jpeg?q=70,https://www.flipkart.com/roadster-slim-men-blue-jeans/p/itm096faa9db7658?pid=JEAG88PXHWGTXHYJ&lid=LSTJEAG88PXHWGTXHYJRTYRM5&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_4&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAG88PXHWGTXHYJ.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
4,Men Slim Mid Rise Grey Jeans,₹645,56% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/e/f/2/36-8962343-roadster-original-imafjuyskyzqeny7-bb.jpeg?q=70,https://www.flipkart.com/roadster-slim-men-grey-jeans/p/itm38c17d66f2750?pid=JEAFJUR8X7JPA54S&lid=LSTJEAFJUR8X7JPA54SAQJPWB&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_5&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAFJUR8X7JPA54S.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
5,Men Skinny Mid Rise Dark Blue Jeans,₹600,69% off,https://rukminim2.flixcart.com/image/612/612/kvba7bk0/jean/x/7/p/32-14638052-roadster-original-imag88p2gynzqznj.jpeg?q=70,https://www.flipkart.com/roadster-skinny-men-dark-blue-jeans/p/itmcef385641fa85?pid=JEAG88P7GZGXXQ9R&lid=LSTJEAG88P7GZGXXQ9R0LGK8B&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&spotlightTagId=TrendingId_clo%2Fvua%2Fk58&srno=s_1_6&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAG88P7GZGXXQ9R.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
6,Women Boyfriend High Rise Black Jeans,₹489,67% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/i/p/1/32-j-1285-kashian-original-imagnyxjgzbtajca.jpeg?q=70,https://www.flipkart.com/kashian-boyfriend-women-black-jeans/p/itm262724f391135?pid=JEAGNYY7A55HENYD&lid=LSTJEAGNYY7A55HENYDRSICMP&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_7&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4NBc08tHLwC-AEYae-JEccRhRpa2KTpNPDElLT5BjH8i3w%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
7,Women Regular High Rise Blue Jeans,₹599,70% off,https://rukminim2.flixcart.com/image/612/612/kx3l0nk0hlty2aw/jean/n/l/t/-original-imag9tb29gzdgpfg.jpeg?q=70,https://www.flipkart.com/akacy-regular-women-blue-jeans/p/itmc276337582f19?pid=JEAGGGDFTAACSFHR&lid=LSTJEAGGGDFTAACSFHRM0MLIZ&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_8&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4NA7_BN7vryz3iRuUdwOK5yym18SVZS4Y9QvLK73M1laXQ%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
8,Women Skinny High Rise Light Blue Jeans,₹383,70% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/j/c/g/32-5-buttonjeans-namostu-original-imagxa3fvhuzh7zk.jpeg?q=70,https://www.flipkart.com/namostu-skinny-women-light-blue-jeans/p/itm785b5fee4bfa3?pid=JEAGXA3FBUGDX5CC&lid=LSTJEAGXA3FBUGDX5CCVCMGSE&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_9&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGXA3FBUGDX5CC.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
9,Men Slim Mid Rise Black Jeans,₹592,57% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/r/a/b/38-eps-black-03-urbano-fashion-original-imaghkgk27whjcej.jpeg?q=70,https://www.flipkart.com/urbano-fashion-slim-men-black-jeans/p/itmf3vzvepvpz8by?pid=JEAEP6TY2PXB57YU&lid=LSTJEAEP6TY2PXB57YUQUZHES&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_10&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAEP6TY2PXB57YU.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
10,Men Regular Mid Rise Dark Blue Jeans,₹429,73% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/l/7/q/34-jeans-metronaut-original-imags5ab2xhbbx9y.jpeg?q=70,https://www.flipkart.com/metronaut-regular-men-dark-blue-jeans/p/itm89dd9483a98bd?pid=JEAGS5ACKWCGF4M9&lid=LSTJEAGS5ACKWCGF4M930SVX9&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_11&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4ND3y7yLRPyLyEVDjIAuu6HkYBQ8Rvl3jiuUVijv6UZlQw%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
11,Men Slim Mid Rise Grey Jeans,₹399,82% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/s/1/q/34-ljrmg005-lzard-original-imagteww2sghnje9.jpeg?q=70,https://www.flipkart.com/lzard-slim-men-grey-jeans/p/itmdf055634b0d15?pid=JEAGTEWXWTM9TYUK&lid=LSTJEAGTEWXWTM9TYUKHQBPOA&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_12&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4NAdqo_K2DsIhrPLlX4nhNbr-Ay7SfXgeGLfgcnEvdirOg%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
12,Men Skinny Mid Rise Blue Jeans,₹405,72% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/x/j/7/28-17781042-roadster-original-imaghmkqz4daytw9.jpeg?q=70,https://www.flipkart.com/roadster-skinny-men-blue-jeans/p/itm3f9158128ca9e?pid=JEAGHMHYF3HXXCC9&lid=LSTJEAGHMHYF3HXXCC9PAJ41V&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_13&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGHMHYF3HXXCC9.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
13,Women Regular High Rise Black Jeans,₹499,83% off,https://rukminim2.flixcart.com/image/612/612/klqx30w0/jean/i/t/v/32-kttladiesjeans848-kotty-original-imagyt4gu8sperbe.jpeg?q=70,https://www.flipkart.com/kotty-regular-women-black-jeans/p/itmbd2194b7512df?pid=JEAGFFMYHMKHUTM5&lid=LSTJEAGFFMYHMKHUTM58IPWD5&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&spotlightTagId=BestsellerId_clo%2Fvua%2Fk58&srno=s_1_14&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGFFMYHMKHUTM5.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
14,Men Slim Mid Rise Black Jeans,₹499,61% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/1/8/o/30-mx-jeans-creatywitty-original-imag53mgyyguvmth-bb.jpeg?q=70,https://www.flipkart.com/maahit-slim-men-black-jeans/p/itm49d90f18b8936?pid=JEAGXJNXSFV35H6U&lid=LSTJEAGXJNXSFV35H6U3RWGRS&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_15&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGXJNXSFV35H6U.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
15,Women Flared High Rise Blue Jeans,₹499,83% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/o/1/u/28-kttladiesjeans854-kotty-original-imags7tess6zjqjx.jpeg?q=70,https://www.flipkart.com/kotty-flared-women-blue-jeans/p/itm17f5f2d292040?pid=JEAGFFMYKUAQVN38&lid=LSTJEAGFFMYKUAQVN38GLZIJG&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_16&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGFFMYKUAQVN38.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
16,Women Boyfriend High Rise Dark Blue Jeans,₹489,67% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/x/a/c/34-j-1285-kashian-original-imagnyxjv5pgjvyk.jpeg?q=70,https://www.flipkart.com/kashian-boyfriend-women-dark-blue-jeans/p/itm6f02c1f69ac55?pid=JEAGNFYUDKXPJNRQ&lid=LSTJEAGNFYUDKXPJNRQO1GA1L&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_17&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4NDNU0MU7liSHwufdQeGekXpJlHSXJR86F5jNuTGbqbZWA%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
17,Men Slim Low Rise Blue Jeans,₹759,68% off,https://rukminim2.flixcart.com/image/612/612/kxqg2a80/jean/r/7/z/28-ri70019-ragzo-original-imaga4hdrkjv3gzh.jpeg?q=70,https://www.flipkart.com/ragzo-slim-men-blue-jeans/p/itmf72b232780c72?pid=JEAGA4HE3TCZS9UR&lid=LSTJEAGA4HE3TCZS9URX0PGDN&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_18&otracker=search&fm=organic&iid=en_Coq06C7Rh0qKytm-2cBWY7-SKwal5_qg6vWNigDI4NDotfOqWigJieB2n2Ff2DBiU9oRPAGKgQYewLRi9mMKdA%3D%3D&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
18,Women Regular High Rise Grey Jeans,₹499,75% off,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/a/d/p/m-kttladiesjeans916-kotty-original-imagajtbhqsckbhr-bb.jpeg?q=70,https://www.flipkart.com/kotty-regular-women-grey-jeans/p/itm388ad1fa9cf8e?pid=JEAGAJTCVTAUSXEZ&lid=LSTJEAGAJTCVTAUSXEZKXUO1S&marketplace=FLIPKART&q=jeans&store=clo%2Fvua%2Fk58&srno=s_1_19&otracker=search&fm=organic&iid=669cbcee-9f98-4830-8cb6-65909cb6cf46.JEAGAJTCVTAUSXEZ.SEARCH&ppt=None&ppn=None&ssid=n8mkmkuhcg0000001707321742174&qH=a0f2589b1ced4dec
